
iter	f	tx	ty	tz	rx	ry	rz	gtx	gty	gtz	grx	gry	grz
15 4324.95 1.07117 -6.97114 15.0086 0.00448056 -0.000275244 0.00291071 0.0469673 2.35448 -13.1043 -779.01 -306.979 -13.3661 
16 4324.9 1.07114 -6.97173 15.0121 0.00447931 -0.000274186 0.00291982 0.0451901 2.35373 -13.0976 -780.552 -290.653 26.4093 
17 4324.81 1.07108 -6.97292 15.0191 0.00447682 -0.000272069 0.00293805 0.0416354 2.35224 -13.0842 -783.639 -258.005 105.96 
18 4324.63 1.07098 -6.9753 15.0331 0.00447183 -0.000267835 0.00297449 0.0345245 2.34926 -13.0574 -789.817 -192.716 265.062 
19 4324.29 1.07076 -6.98005 15.061 0.00446186 -0.000259367 0.00304739 0.0202965 2.34329 -13.0038 -802.197 -62.1759 583.266 
20 4323.7 1.07033 -6.98955 15.1169 0.00444191 -0.000242431 0.00319317 -0.0081837 2.33138 -12.8967 -827.043 198.757 1219.68 
21 4322.81 1.06946 -7.00856 15.2287 0.00440202 -0.00020856 0.00348475 -0.0652412 2.30761 -12.6824 -877.088 720.032 2492.5 
22 4322.3 1.06773 -7.04657 15.4522 0.00432223 -0.000140818 0.0040679 -0.179745 2.26034 -12.254 -978.588 1760.22 5038.18 
23 4322.27 1.06805 -7.03946 15.4103 0.00433717 -0.000153503 0.00395871 -0.158265 2.26917 -12.3342 -959.439 1565.69 4561.51 
24 4321.72 1.06773 -7.04657 15.4522 0.0043446 -0.000177319 0.00396156 -0.41404 2.17153 -12.2732 -354.085 87.0425 4785.68 
25 4320.77 1.06708 -7.06081 15.5358 0.00435946 -0.000224951 0.00396726 -0.925589 1.97626 -12.1512 856.623 -2870.2 5234.02 
26 4319.39 1.06578 -7.08928 15.7032 0.00438917 -0.000320217 0.00397867 -1.94868 1.58569 -11.9072 3278.04 -8784.47 6130.77 
27 4318.72 1.06318 -7.14623 16.038 0.00444859 -0.000510747 0.00400147 -3.99481 0.804486 -11.4197 8120.86 -20612.1 7924.51 
28 4318.63 1.06386 -7.13132 15.9504 0.00443303 -0.000460861 0.0039955 -3.45909 1.00904 -11.5473 6852.88 -17515.5 7454.83 
29 4315.28 1.06386 -7.13132 15.9504 0.00432061 -0.000173504 0.0038732 -0.257767 2.37922 -11.3054 -897.409 1495.8 4189.64 
30 4314.06 1.06386 -7.13132 15.9504 0.00435879 -0.000214136 0.00354599 -0.223329 2.43257 -11.308 -856.052 903.629 2761.16 
31 4313.1 1.06386 -7.13132 15.9504 0.00443515 -0.000295401 0.00289158 -0.154805 2.53966 -11.3132 -775.445 -282.965 -95.8811 
32 4313.1 1.06386 -7.13132 15.9504 0.00443412 -0.000294309 0.00290038 -0.155723 2.53822 -11.3132 -776.51 -266.998 -57.4832 
33 4313.1 1.06386 -7.13132 15.9504 0.00444259 -0.000291641 0.00289951 -0.126075 2.45012 -11.2974 -245.891 -84.6788 -18.1709 
34 4313.1 1.06386 -7.13132 15.9504 0.00444652 -0.000290403 0.00289911 -0.112324 2.40926 -11.2902 0.217536 -0.116837 0.0627522 
35 4313.1 1.06386 -7.13132 15.9504 0.0044465 -0.000290343 0.00289908 -0.111646 2.4095 -11.2901 -1.11962 3.90952 -0.605557 
36 4313.1 1.06386 -7.13132 15.9504 0.00444646 -0.000290222 0.00289902 -0.11029 2.40998 -11.29 -3.79394 11.9622 -1.94217 
37 4313.1 1.06386 -7.13132 15.9504 0.00444639 -0.00028998 0.00289891 -0.107578 2.41094 -11.2897 -9.14257 28.0677 -4.61541 
38 4313.1 1.06386 -7.13133 15.9504 0.00444623 -0.000289496 0.00289868 -0.102154 2.41286 -11.2892 -19.8398 60.2786 -9.96188 
39 4313.09 1.06386 -7.13134 15.9505 0.00444593 -0.000288529 0.00289822 -0.0913055 2.41669 -11.2881 -41.2343 124.7 -20.6548 
40 4313.09 1.06386 -7.13137 15.9506 0.00444533 -0.000286594 0.00289731 -0.0696092 2.42437 -11.286 -84.0233 253.544 -42.0407 
41 4313.09 1.06387 -7.13143 15.9509 0.00444411 -0.000282724 0.00289549 -0.0262167 2.43972 -11.2818 -169.601 511.231 -84.8123 
42 4313.09 1.06387 -7.13146 15.9511 0.00444338 -0.000280369 0.00289438 0.000201198 2.44906 -11.2793 -221.702 668.114 -110.852 
43 4313.09 1.06387 -7.1315 15.9512 0.00444345 -0.000280462 0.00289367 0.000221043 2.44919 -11.279 -221.494 666.722 -113.903 
44 4313.09 1.06387 -7.13156 15.9515 0.0044436 -0.000280647 0.00289226 0.000260733 2.44943 -11.2784 -221.079 663.938 -120.006 
45 4313.08 1.06388 -7.1317 15.9522 0.0044439 -0.000281019 0.00288944 0.000340108 2.44993 -11.2772 -220.248 658.369 -132.21 
46 4313.06 1.06389 -7.13197 15.9534 0.0044445 -0.000281762 0.0028838 0.000498836 2.45092 -11.2749 -218.587 647.233 -156.62 
47 4313.04 1.06392 -7.1325 15.9559 0.0044457 -0.000283248 0.00287253 0.00081621 2.45289 -11.2702 -215.266 624.96 -205.439 
48 4312.98 1.06397 -7.13358 15.961 0.00444811 -0.000286221 0.00284997 0.00145062 2.45685 -11.2609 -208.625 580.411 -303.076 
49 4312.87 1.06407 -7.13573 15.9711 0.00445291 -0.000292165 0.00280486 0.00271812 2.46476 -11.2422 -195.355 491.305 -498.353 
50 4312.69 1.06427 -7.14004 15.9913 0.00446252 -0.000304055 0.00271464 0.00524778 2.4806 -11.2048 -168.859 313.061 -888.909 
51 4312.45 1.06467 -7.14866 16.0316 0.00448175 -0.000327833 0.0025342 0.0102858 2.51231 -11.13 -116.039 -43.5611 -1670.03 
52 4312.41 1.06547 -7.16588 16.1124 0.00452019 -0.000375391 0.00217333 0.0202766 2.57586 -10.9806 -11.0945 -757.334 -3232.34 
53 4312.35 1.06512 -7.15826 16.0766 0.00450317 -0.000354338 0.00233308 0.0158679 2.5477 -11.0467 -57.4374 -441.274 -2540.73 
54 4311.95 1.06547 -7.16588 16.1124 0.00452383 -0.000347411 0.00233443 0.0883014 2.31262 -10.9364 1393.32 62.7789 -2416.47 
55 4311.26 1.06618 -7.18114 16.1838 0.00456516 -0.000333557 0.00233712 0.233172 1.84247 -10.7156 4294.77 1070.86 -2167.95 
56 4310.36 1.0676 -7.21164 16.3268 0.0046478 -0.000305848 0.0023425 0.522925 0.902144 -10.2742 10097.5 3086.95 -1670.93 
57 4310.09 1.06892 -7.23993 16.4593 0.00472444 -0.000280154 0.0023475 0.791637 0.0301486 -9.8649 15478.3 4956.43 -1210.06 
